nomCru	country_label	subregion_label	area_label	label	millesime	volume	date_achat	prix	cote	quantite_courante	quantite_achat	garde_min	garde_max	garde_optimum	suggestion	comment	lieu_achat	canal_vente
A. Chauvet - Cachet Rouge - Millésimé	France	Champagne	Champagne Grand Cru	blanc effervescent	2008	75 cl	2016-03-11	28	28	0	3	2	10	2			salon de la gastro Annecy le vieux	En direct du producteur
A. Chauvet - Cachet Vert	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2016-03-11	17.8	17.8	0	3	2	10	2		à boire avant 2018	salon de la gastro Annecy le vieux	En direct du producteur
A. Chauvet - Carte Blanche	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2018-10-21	18.4	18.4	0	3	2	10	2		le champagne classique mais bien fait	salon mer &amp; vigne Annecy le Vieux 2018	Salon de vignerons
A. Chauvet - Grand Rosé	France	Champagne	Champagne	rosé effervescent	2007	75 cl	2016-03-11	28	28	0	3	2	10	2			salon de la gastro Annecy le vieux	En direct du producteur
Aalto	Espagne	Castille-Leon	Ribera del Duero	rouge	2013	75 cl	2016-04-20	27.5	27.5	0	3	1	5	1	Rôtis / viandes rouges / pot-au-feu / agneau aux fines herbes / jambon / charcuteries	tempranillo. Oenologue Mariano García (Vega Sicilia).. Robe :Intense / sombre / brillant / robe intense. Nez : Arômes fruités / arômes de fleurs / réglisse / encens / épices / frais / vanille / moka / tabac / notes minérales / harmonieux / persistant. Bouche : Intense / ample / élégant / fruité / charnu / corpulent / enveloppant / crémeux / long	Vinissimus	Achat sur Internet
Aalto	Espagne	Castille-Leon	Ribera del Duero	rouge	2014	75 cl	2016-12-01	29.9	29.9	1	6	2	16	9	carré d'agneau et gratin dauphinois, entrecôte bordelaise	ouvrir &amp;h avant et carafer	1jour1vin	Achat sur Internet
Adriano Ramos Pinto - Duas Quintas	Portugal	Duriense-Douro-Porto	Douro	rouge	2008	75 cl	2012-06-17	0	0	0	1	5	6	5		chez Nicolas.. Grillades	fete desperes 2012	Caviste
Adriano Ramos Pinto - Duas Quintas	Portugal	Duriense-Douro-Porto	Douro	blanc	2011	75 cl	2012-06-17	0	0	0	1	3	4	3		apéritif, morue, poissons de mer.. 	fete desperes 2012	Caviste
Adrien Vacher - Cuvée réservée	France	Savoie, Dauphiné et Bugey	Vin de Savoie Chignin	blanc	2006	75 cl	2008-01-12	4.6	4.6	0	2	1	4	0		Carrefour		Non défini
Alain Brumont, Vendémiaire	France	Sud-Ouest	Pacherenc du Vic Bilh	blanc liquoreux	2008	50 cl	2013-08-25	10.85	10.85	0	3	3	12	3			Chateau Montus - Par Franck et Cécile	En direct du producteur
Alain Voge - Fleur de Crussol	France	Vallée du Rhône	Saint Péray	blanc	2023	75 cl	2025-07-10	42	42	4	6	1	12	1		Goûté chez Arnaud et Virginie un 2014 en 2025 qui était top	Vinatis	Achat sur Internet
Albert Bichot	France	Bourgogne	Côte de Nuits Villages	rouge	2006	75 cl	2009-12-25	0	0	0	1	3	8	4	servir à 17° Viandes blanches, Agneau, Fromages doux. À remonter de la cave en 2010.	Habillé d'une robe profonde aux reflets violacés, un 2006 qui ne manque ni de puissance ni de potentiel. Le nez boisé (quatorze mois de fût) commence à s'ouvrir sur le fruit. Ronde, riche et fruitée, la bouche se fait gourmande avant une montée des tanins en finale qui invite à la patience. 	noël 2009 Loïc St Max	Caviste
Albert Bichot	France	Bourgogne	Nuits Saint Georges	rouge	2007	75 cl	2010-12-26	0	28	0	1	1	5	1		Offert pas Kishore Devarasetty avant son retourn en Inde. En remerciement de lui avoir fait visiter Annecy et les environs.	Offert par Kishore	Grande surface
Alfred Rothschild	France	Champagne	Champagne	rosé effervescent	-0	75 cl	2016-08-14	0	25	0	1	2	10	2			laissé par Anthony Mahut	Cadeau
